Height (cm),Weight (kg),Calorie Intake,Exercise Weekly,Job,Body Type,Food Plan,Diet Explanation,Workout,Workout Info
174.65,98.34,1328,0,Chef,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
144.05,96.55,2504,3,Lawyer,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
147.62,45.64,2095,1,Artist,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
187.04,62.69,1263,1,Nurse,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
171.25,58.57,2130,3,Retail Salesperson,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
183.53,73.45,1558,6,Dentist,Overweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
195.73,115.47,2630,0,Plumber,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
172.41,77.69,2774,5,Teacher,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
178.22,100.75,1815,6,Doctor,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
193.72,47.98,1730,2,Lawyer,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
187.59,108.24,1727,6,Teacher,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
157.53,91.77,1828,1,Doctor,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
167.16,55.47,2845,3,Writer,Overweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
175.77,40.91,2785,7,Dentist,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
146.09,68.67,2168,2,Software Engineer,Underweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
188.73,73.89,2527,7,Teacher,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
163.66,97.88,2757,6,Nurse,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
178.25,46.51,1285,6,Retail Salesperson,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
151.87,75.02,2511,6,Nurse,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
145.96,45.57,1615,3,Office Worker,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
163.14,43.67,1395,5,Dentist,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
158.91,52.94,2858,3,Writer,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
166.5,99.47,2959,7,Nurse,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
161.56,112.5,2737,0,Dentist,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
173.91,60.98,1296,6,Artist,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
161.9,52.38,2675,4,Writer,Underweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
195.93,71.33,1737,0,Construction Worker,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
192.14,83.64,2494,6,Artist,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
196.38,98.78,2767,1,Writer,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
160.13,43.93,1427,3,Accountant,Overweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
142.92,118.86,2340,2,Plumber,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
153.57,81.05,2579,6,Nurse,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
160.69,50.71,2113,0,Nurse,Overweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
177.09,97.14,1542,7,Nurse,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
147.63,71.16,2779,0,Dentist,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
146.13,105.37,1610,1,Dentist,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
198.4,48.08,2202,1,Doctor,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
182.78,61.35,1596,6,Writer,Normal,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Gym Workouts,"Gym workouts typically include a combination of cardio and strength exercises using various gym equipment. Examples include treadmill running, stationary bike cycling, weightlifting, and using machines such as the leg press, chest press, and lat pulldown. Equipment: Treadmill, stationary bike, rowing machine, elliptical machine, leg press machine, chest press machine, lat pulldown machine, free weights, resistance machines."
199.48,59.39,1515,7,Artist,Overweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
186.59,43.99,2628,2,Fitness Trainer,Normal,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Strength Training,"Strength training involves resistance exercises to build muscle strength and endurance. Examples include weightlifting, bodyweight exercises, and resistance band workouts. Equipment: Dumbbells, barbells, kettlebells, resistance bands."
155.64,115.12,2104,7,Accountant,Underweight,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Yoga,"Yoga combines physical postures, breathing exercises, and meditation to improve flexibility, strength, and mental well-being. Equipment: Yoga mat, yoga blocks, yoga strap."
147.85,71.48,2400,2,Chef,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
194.42,91.15,2064,6,Teacher,Underweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
196.36,75.77,2087,2,Dentist,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Pilates,"Pilates focuses on core strength, flexibility, and body awareness. It involves controlled movements and specific breathing patterns. Equipment: Pilates reformer, Pilates mat, resistance bands."
174.78,100.84,1494,2,Software Engineer,Normal,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
144.04,69.61,2642,6,Office Worker,Normal,Keto Diet,"The keto diet is a low carb, high fat diet that aims to induce ketosis, a metabolic state where the body burns fat for fuel. Indian keto-friendly foods may include paneer bhurji (scrambled cottage cheese), cauliflower rice, butter chicken without rice, coconut-based curries, and nuts.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
192.6,76.5,2640,6,Office Worker,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
190.47,89.56,1826,2,Mechanic,Underweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",HIIT,"High-Intensity Interval Training alternates between short bursts of intense exercise and brief rest periods to maximize calorie burn and improve cardiovascular fitness. Examples include burpees, sprinting, and jump squats. Equipment: None (bodyweight exercises), or optional weights for added resistance."
158.12,41.97,1961,0,Construction Worker,Overweight,Low Carb Diet,"A low carb diet restricts the intake of carbohydrates, focusing on proteins and fats. Indian low carb options may include paneer tikka (grilled cottage cheese), tandoori chicken, grilled fish, salads, and stir-fried vegetables.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
155.27,50.22,2146,4,Teacher,Overweight,Balanced Diet,"A balanced diet includes a variety of foods from all food groups, such as grains, proteins, fruits, vegetables, and dairy. For example, a typical Indian balanced diet may include roti (whole wheat bread), dal (lentils), sabzi (vegetable curry), rice, yogurt, and salad.",Overweight Gym Plan,"The overweight gym plan focuses on a combination of cardiovascular exercises and strength training to promote weight loss and improve overall fitness. Cardio exercises such as treadmill walking, stationary bike cycling, and rowing are recommended for burning calories and improving heart health. Strength training exercises should target major muscle groups and include exercises like leg presses, chest presses, lat pulldowns, and bicep curls. It is important to start with lighter weights and gradually increase intensity as strength improves. Aim for 3-4 days of gym workouts per week with rest days in between for recovery."
192.83,78.23,2431,3,Retail Salesperson,Underweight,Vegetarian Diet,"A vegetarian diet excludes meat and seafood but includes plant-based foods such as fruits, vegetables, grains, nuts, and seeds. Popular Indian vegetarian dishes include paneer (cottage cheese) dishes, chana masala (chickpea curry), rajma (kidney bean curry), and various vegetable curries.",Cardio,"Cardiovascular exercises aim to elevate your heart rate and improve endurance. Examples include running, cycling, swimming, and jumping rope. Equipment: Treadmill, stationary bike, elliptical machine, jump rope."
